  #K-Path    Energy        Bi        Sb
# NKPTS & NBANDS:  80 112
# Band-Index:    1
    0.089  -24.4305     0.984     0.000
    0.112  -24.4304     0.984     0.000
    0.134  -24.4302     0.984     0.000
    0.156  -24.4301     0.984     0.000
    0.179  -24.4300     0.984     0.000
    0.201  -24.4299     0.984     0.000
    0.224  -24.4298     0.984     0.000
    0.246  -24.4297     0.984     0.000
    0.268  -24.4296     0.984     0.000
    0.291  -24.4295     0.984     0.000
    0.313  -24.4294     0.984     0.000
    0.335  -24.4294     0.984     0.000
    0.358  -24.4293     0.984     0.000
    0.380  -24.4293     0.984     0.000
    0.402  -24.4292     0.984     0.000
    0.425  -24.4292     0.984     0.000
    0.425  -24.4292     0.984     0.000
    0.468  -24.4295     0.984     0.000
    0.512  -24.4297     0.984     0.000
    0.555  -24.4299     0.984     0.000
    0.599  -24.4302     0.984     0.000
    0.642  -24.4303     0.984     0.000
    0.686  -24.4305     0.984     0.000
    0.729  -24.4307     0.984     0.000
    0.773  -24.4308     0.984     0.000
    0.816  -24.4309     0.984     0.000
    0.860  -24.4309     0.984     0.000
    0.903  -24.4308     0.984     0.000
    0.947  -24.4306     0.984     0.000
    0.990  -24.4304     0.984     0.000
    1.034  -24.4302     0.984     0.000
    1.077  -24.4300     0.984     0.000
    1.121  -24.4299     0.984     0.000
    1.164  -24.4298     0.984     0.000
    1.208  -24.4298     0.984     0.000
    1.251  -24.4298     0.985     0.000
    1.251  -24.4298     0.984     0.000
    1.295  -24.4298     0.984     0.000
    1.338  -24.4298     0.984     0.000
    1.382  -24.4299     0.984     0.000
    1.425  -24.4300     0.984     0.000
    1.469  -24.4302     0.984     0.000
    1.512  -24.4304     0.984     0.000
    1.556  -24.4306     0.984     0.000
    1.599  -24.4308     0.984     0.000
    1.643  -24.4309     0.984     0.000
    1.686  -24.4309     0.984     0.000
    1.730  -24.4308     0.984     0.000
    1.773  -24.4307     0.984     0.000
    1.817  -24.4305     0.984     0.000
    1.860  -24.4303     0.984     0.000
    1.904  -24.4302     0.984     0.000
    1.947  -24.4299     0.984     0.000
    1.991  -24.4297     0.984     0.000
    2.034  -24.4295     0.984     0.000
    2.078  -24.4292     0.984     0.000
    2.078  -24.4292     0.984     0.000
    2.115  -24.4295     0.984     0.000
    2.153  -24.4297     0.984     0.000
    2.190  -24.4299     0.984     0.000
    2.227  -24.4301     0.984     0.000
    2.265  -24.4303     0.984     0.000
    2.302  -24.4304     0.984     0.000
    2.339  -24.4305     0.984     0.000
    2.377  -24.4307     0.984     0.000
    2.414  -24.4308     0.984     0.000
    2.451  -24.4308     0.984     0.000
    2.488  -24.4308     0.984     0.000
    2.526  -24.4304     0.984     0.000
    2.563  -24.4301     0.984     0.000
    2.600  -24.4298     0.984     0.000
    2.638  -24.4294     0.984     0.000
    2.675  -24.4291     0.984     0.000
    2.712  -24.4288     0.984     0.000
    2.750  -24.4285     0.984     0.000
    2.787  -24.4282     0.984     0.000
 
# Band-Index:    4
    2.787  -24.4282     0.984     0.000
    2.750  -24.4279     0.984     0.000
    2.712  -24.4277     0.984     0.000
    2.675  -24.4275     0.984     0.000
    2.638  -24.4274     0.984     0.000
    2.600  -24.4273     0.984     0.000
    2.563  -24.4272     0.984     0.000
    2.526  -24.4272     0.984     0.000
    2.488  -24.4272     0.984     0.000
    2.451  -24.4273     0.984     0.000
    2.414  -24.4274     0.984     0.000
    2.377  -24.4275     0.984     0.000
    2.339  -24.4276     0.984     0.000
    2.302  -24.4278     0.984     0.000
    2.265  -24.4280     0.984     0.000
    2.227  -24.4283     0.984     0.000
    2.190  -24.4285     0.984     0.000
    2.153  -24.4287     0.984     0.000
    2.115  -24.4290     0.984     0.000
    2.078  -24.4292     0.984     0.000
    2.078  -24.4292     0.984     0.000
    2.034  -24.4290     0.984     0.000
    1.991  -24.4288     0.984     0.000
    1.947  -24.4286     0.984     0.000
    1.904  -24.4284     0.984     0.000
    1.860  -24.4282     0.984     0.000
    1.817  -24.4281     0.984     0.000
    1.773  -24.4280     0.984     0.000
    1.730  -24.4280     0.984     0.000
    1.686  -24.4280     0.984     0.000
    1.643  -24.4280     0.984     0.000
    1.599  -24.4281     0.984     0.000
    1.556  -24.4283     0.984     0.000
    1.512  -24.4284     0.984     0.000
    1.469  -24.4286     0.984     0.000
    1.425  -24.4288     0.984     0.000
    1.382  -24.4290     0.984     0.000
    1.338  -24.4293     0.984     0.000
    1.295  -24.4295     0.984     0.000
    1.251  -24.4298     0.984     0.000
    1.251  -24.4298     0.985     0.000
