    #kx         ky         Energy       Sx      Sy      Sz
    #Grid-Size:    23   47
    #Band-Index:   40
    0.000000    0.000000   -2.210792   0.000  -0.300   0.000
    0.000000    0.031381   -2.068240   0.000  -0.206   0.000
    0.000000    0.062763   -2.177604  -0.404   0.068  -0.136
    0.000000    0.094144   -2.368730  -0.402   0.086  -0.160
    0.000000    0.125526   -2.395203  -0.400  -0.098  -0.162
    0.000000    0.156907   -2.343227  -0.352  -0.162  -0.124
    0.000000    0.188288   -2.289363  -0.250  -0.310  -0.022
    0.000000    0.219670   -2.228973  -0.226   0.174   0.126
    0.000000    0.251051   -2.392475  -0.096   0.290  -0.078
    0.000000    0.282433   -2.555039   0.080   0.296  -0.066
    0.000000    0.313814   -2.727169   0.118   0.352   0.040
    0.000000    0.345195   -2.640828   0.198  -0.306   0.020
    0.000000    0.376577   -2.506663   0.208  -0.262  -0.018
    0.000000    0.407958   -2.358200   0.194  -0.250   0.132
    0.000000    0.439340   -2.358200   0.194   0.250   0.132
    0.000000    0.470721   -2.552462   0.252   0.234  -0.032
    0.000000    0.502102   -2.785298   0.266   0.236   0.072
    0.000000    0.533484   -2.950828   0.236  -0.262   0.152
    0.000000    0.564865   -2.819758   0.282  -0.176  -0.028
    0.000000    0.596247   -2.634017   0.302  -0.182  -0.112
    0.000000    0.627628   -2.588950   0.374  -0.052  -0.102
    0.000000    0.659010   -2.617927   0.344   0.134  -0.116
    0.000000    0.690391   -2.812240   0.286   0.150  -0.158
    0.000000    0.721772   -3.034054   0.274   0.106  -0.094
    0.000000    0.753154   -3.090309   0.272  -0.092  -0.072
    0.000000    0.784535   -2.983169   0.258  -0.124  -0.212
    0.000000    0.815917   -2.960394   0.292  -0.076  -0.250
    0.000000    0.847298   -3.008661   0.296   0.000  -0.270
    0.000000    0.878679   -3.032516   0.276   0.056  -0.270
    0.000000    0.910061   -3.082979  -0.228   0.086   0.262
    0.000000    0.941442   -3.114671  -0.250   0.080   0.164
    0.000000    0.972824   -3.071554  -0.256  -0.092   0.164
    0.000000    1.004205   -2.903916  -0.276  -0.136   0.196
    0.000000    1.035586   -2.737784  -0.338  -0.102   0.178
    0.000000    1.066968   -2.714095  -0.358   0.038   0.176
    0.000000    1.098349   -2.730226  -0.310   0.154   0.156
    0.000000    1.129731   -2.883347  -0.282   0.136   0.106
    0.000000    1.161112   -3.043804  -0.214   0.224  -0.144
    0.000000    1.192493   -2.872232  -0.272  -0.192  -0.026
    0.000000    1.223875   -2.611157  -0.276  -0.204   0.078
    0.000000    1.255256   -2.416476  -0.298  -0.182  -0.062
    0.000000    1.286638   -2.416476  -0.298   0.182  -0.062
    0.000000    1.318019   -2.552462  -0.252   0.234   0.032
    0.000000    1.349400   -2.702683  -0.250   0.276  -0.064
    0.000000    1.380782   -2.782625  -0.204  -0.328  -0.102
    0.000000    1.412163   -2.605178  -0.202  -0.290  -0.004
    0.000000    1.443545   -2.431017  -0.094  -0.298   0.042
    0.031842    0.000000   -2.110134   0.000  -0.150   0.000
    0.031842    0.031381   -2.052221   0.000  -0.178   0.000
    0.031842    0.062763   -2.146275  -0.416   0.042  -0.140
    0.031842    0.094144   -2.327654  -0.408   0.084  -0.158
    0.031842    0.125526   -2.434548  -0.396  -0.100  -0.166
    0.031842    0.156907   -2.372399  -0.350  -0.150  -0.136
    0.031842    0.188288   -2.321842  -0.248  -0.292  -0.056
    0.031842    0.219670   -2.232611  -0.186   0.000   0.194
    0.031842    0.251051   -2.355523  -0.136   0.326  -0.052
    0.031842    0.282433   -2.522136   0.080   0.282  -0.076
    0.031842    0.313814   -2.687676   0.132   0.342   0.022
    0.031842    0.345195   -2.676846   0.190  -0.320   0.038
    0.031842    0.376577   -2.551863   0.224  -0.256  -0.006
    0.031842    0.407958   -2.388027   0.192  -0.288   0.060
    0.031842    0.439340   -2.340367   0.202   0.150   0.202
    0.031842    0.470721   -2.499025   0.242   0.248  -0.032
    0.031842    0.502102   -2.741164   0.270   0.222   0.038
    0.031842    0.533484   -2.950828   0.236   0.262   0.152
    0.031842    0.564865   -2.872232   0.272  -0.192   0.026
    0.031842    0.596247   -2.681859   0.292  -0.176  -0.122
    0.031842    0.627628   -2.599589   0.362  -0.098  -0.108
    0.031842    0.659010   -2.599589   0.362   0.098  -0.108
    0.031842    0.690391   -2.768197   0.296   0.156  -0.158
    0.031842    0.721772   -2.988252   0.274   0.110  -0.136
    0.031842    0.753154   -3.126470   0.254  -0.104   0.030
    0.031842    0.784535   -3.011749   0.252  -0.118  -0.204
    0.031842    0.815917   -2.975685   0.280  -0.090  -0.248
    0.031842    0.847298   -3.010280   0.294  -0.014  -0.270
    0.031842    0.878679   -3.022606   0.284   0.044  -0.270
    0.031842    0.910061   -3.069984  -0.240   0.082   0.266
    0.031842    0.941442   -3.093709  -0.234   0.092   0.200
    0.031842    0.972824   -3.101705  -0.268  -0.082   0.116
    0.031842    1.004205   -2.938346  -0.268  -0.132   0.192
    0.031842    1.035586   -2.758682  -0.322  -0.126   0.178
    0.031842    1.066968   -2.645847  -0.372   0.000   0.140
    0.031842    1.098349   -2.699209  -0.326   0.140   0.152
    0.031842    1.129731   -2.827081  -0.284   0.146   0.132
    0.031842    1.161112   -3.003344  -0.236   0.206  -0.100
    0.031842    1.192493   -2.918823  -0.256  -0.210  -0.078
    0.031842    1.223875   -2.669620  -0.278  -0.192   0.066
    0.031842    1.255256   -2.441633  -0.280  -0.224  -0.016
    0.031842    1.286638   -2.402337  -0.318   0.104  -0.100
    0.031842    1.318019   -2.499025  -0.242   0.248   0.032
    0.031842    1.349400   -2.663920  -0.252   0.260  -0.044
    0.031842    1.380782   -2.782625  -0.204   0.328  -0.102
    0.031842    1.412163   -2.640828  -0.198  -0.306  -0.020
    0.031842    1.443545   -2.472271  -0.128  -0.276   0.050
    0.063685    0.000000   -2.056789   0.000   0.072   0.000
    0.063685    0.031381   -2.056789   0.000  -0.072   0.000
    0.063685    0.062763   -2.117923  -0.418   0.008  -0.144
