  #K-Path    Energy        Bi        Sb
# NKPTS & NBANDS:  80  55
# Band-Index:    1
    0.000  -24.2158     0.984     0.000
    0.020  -24.2158     0.984     0.000
    0.039  -24.2159     0.984     0.000
    0.059  -24.2159     0.984     0.000
    0.078  -24.2159     0.984     0.000
    0.098  -24.2160     0.984     0.000
    0.118  -24.2160     0.984     0.000
    0.137  -24.2160     0.984     0.000
    0.157  -24.2161     0.984     0.000
    0.177  -24.2161     0.984     0.000
    0.196  -24.2161     0.984     0.000
    0.216  -24.2161     0.984     0.000
    0.235  -24.2161     0.984     0.000
    0.255  -24.2161     0.984     0.000
    0.275  -24.2162     0.984     0.000
    0.294  -24.2162     0.984     0.000
    0.314  -24.2162     0.984     0.000
    0.333  -24.2161     0.984     0.000
    0.353  -24.2161     0.984     0.000
    0.373  -24.2161     0.984     0.000
    0.373  -24.2161     0.984     0.000
    0.416  -24.2162     0.984     0.000
    0.460  -24.2162     0.984     0.000
    0.503  -24.2161     0.984     0.000
    0.547  -24.2160     0.984     0.000
    0.590  -24.2159     0.984     0.000
    0.634  -24.2158     0.984     0.000
    0.677  -24.2156     0.984     0.000
    0.721  -24.2155     0.984     0.000
    0.764  -24.2154     0.984     0.000
    0.807  -24.2153     0.984     0.000
    0.851  -24.2151     0.984     0.000
    0.894  -24.2149     0.984     0.000
    0.938  -24.2147     0.984     0.000
    0.981  -24.2145     0.984     0.000
    1.025  -24.2143     0.984     0.000
    1.068  -24.2141     0.984     0.000
    1.112  -24.2139     0.984     0.000
    1.155  -24.2137     0.984     0.000
    1.199  -24.2135     0.985     0.000
    1.199  -24.2135     0.985     0.000
    1.242  -24.2137     0.984     0.000
    1.286  -24.2139     0.984     0.000
    1.329  -24.2141     0.984     0.000
    1.373  -24.2143     0.984     0.000
    1.416  -24.2145     0.984     0.000
    1.460  -24.2147     0.984     0.000
    1.503  -24.2149     0.984     0.000
    1.547  -24.2151     0.984     0.000
    1.590  -24.2153     0.984     0.000
    1.634  -24.2154     0.984     0.000
    1.677  -24.2155     0.984     0.000
    1.721  -24.2156     0.984     0.000
    1.764  -24.2158     0.984     0.000
    1.808  -24.2159     0.984     0.000
    1.851  -24.2160     0.984     0.000
    1.895  -24.2161     0.984     0.000
    1.938  -24.2162     0.984     0.000
    1.982  -24.2162     0.984     0.000
    2.025  -24.2161     0.984     0.000
