  #K-Path    Energy        Bi        Sb
# NKPTS & NBANDS:  80  55
# Band-Index:    1
    0.000  -24.4303     0.984     0.000
    0.022  -24.4304     0.984     0.000
    0.045  -24.4306     0.984     0.000
    0.067  -24.4307     0.984     0.000
    0.089  -24.4308     0.984     0.000
    0.112  -24.4310     0.984     0.000
    0.134  -24.4311     0.984     0.000
    0.156  -24.4312     0.984     0.000
    0.179  -24.4313     0.984     0.000
    0.201  -24.4315     0.984     0.000
    0.224  -24.4316     0.984     0.000
    0.246  -24.4316     0.984     0.000
    0.268  -24.4317     0.984     0.000
    0.291  -24.4318     0.984     0.000
    0.313  -24.4319     0.984     0.000
    0.335  -24.4319     0.984     0.000
    0.358  -24.4319     0.984     0.000
    0.380  -24.4320     0.984     0.000
    0.402  -24.4320     0.984     0.000
    0.425  -24.4320     0.984     0.000
    0.425  -24.4320     0.984     0.000
    0.468  -24.4320     0.984     0.000
    0.512  -24.4319     0.984     0.000
    0.555  -24.4318     0.984     0.000
    0.599  -24.4317     0.984     0.000
    0.642  -24.4316     0.984     0.000
    0.686  -24.4314     0.984     0.000
    0.729  -24.4312     0.984     0.000
    0.773  -24.4309     0.984     0.000
    0.816  -24.4307     0.984     0.000
    0.860  -24.4304     0.984     0.000
    0.903  -24.4302     0.984     0.000
    0.947  -24.4301     0.984     0.000
    0.990  -24.4300     0.984     0.000
    1.034  -24.4299     0.984     0.000
    1.077  -24.4298     0.984     0.000
    1.121  -24.4296     0.984     0.000
    1.164  -24.4294     0.984     0.000
    1.208  -24.4292     0.984     0.000
    1.251  -24.4290     0.985     0.000
    1.251  -24.4290     0.984     0.000
    1.295  -24.4292     0.984     0.000
    1.338  -24.4294     0.984     0.000
    1.382  -24.4296     0.984     0.000
    1.425  -24.4298     0.984     0.000
    1.469  -24.4299     0.984     0.000
    1.512  -24.4300     0.984     0.000
    1.556  -24.4301     0.984     0.000
    1.599  -24.4302     0.984     0.000
    1.643  -24.4304     0.984     0.000
    1.686  -24.4307     0.984     0.000
    1.730  -24.4309     0.984     0.000
    1.773  -24.4312     0.984     0.000
    1.817  -24.4314     0.984     0.000
    1.860  -24.4316     0.984     0.000
    1.904  -24.4317     0.984     0.000
    1.947  -24.4318     0.984     0.000
    1.991  -24.4319     0.984     0.000
    2.034  -24.4320     0.984     0.000
    2.078  -24.4320     0.984     0.000
    2.078  -24.4320     0.984     0.000
    2.115  -24.4320     0.984     0.000
    2.153  -24.4320     0.984     0.000
    2.190  -24.4319     0.984     0.000
    2.227  -24.4318     0.984     0.000
