#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  55
# Band-Index:    1
   0.00000    -24.208769  0.000  0.000  0.000  0.000  0.360  0.140  0.034  0.090  0.360  0.984
   0.02236    -24.208862  0.000  0.000  0.000  0.000  0.360  0.140  0.034  0.092  0.360  0.984
   0.04471    -24.208951  0.000  0.000  0.000  0.000  0.360  0.138  0.034  0.092  0.360  0.984
   0.06707    -24.209037  0.000  0.000  0.000  0.000  0.360  0.138  0.034  0.092  0.360  0.984
   0.08943    -24.209120  0.000  0.000  0.000  0.000  0.360  0.138  0.034  0.092  0.360  0.984
   0.11178    -24.209199  0.000  0.000  0.000  0.000  0.360  0.138  0.034  0.092  0.360  0.984
   0.13414    -24.209274  0.000  0.000  0.000  0.000  0.360  0.138  0.034  0.094  0.360  0.984
   0.15650    -24.209340  0.000  0.000  0.000  0.000  0.360  0.136  0.034  0.094  0.360  0.984
   0.17885    -24.209404  0.000  0.000  0.000  0.000  0.360  0.136  0.034  0.094  0.360  0.984
   0.20121    -24.209461  0.000  0.000  0.000  0.000  0.360  0.136  0.034  0.094  0.360  0.984
   0.22357    -24.209513  0.000  0.000  0.000  0.000  0.360  0.136  0.034  0.094  0.360  0.984
   0.24592    -24.209556  0.000  0.000  0.000  0.000  0.360  0.134  0.034  0.094  0.360  0.984
   0.26828    -24.209593  0.000  0.000  0.000  0.000  0.360  0.134  0.034  0.096  0.360  0.984
   0.29064    -24.209622  0.000  0.000  0.000  0.000  0.360  0.134  0.034  0.096  0.360  0.984
   0.31299    -24.209645  0.000  0.000  0.000  0.000  0.362  0.134  0.034  0.096  0.360  0.984
   0.33535    -24.209659  0.000  0.000  0.000  0.000  0.362  0.134  0.034  0.096  0.360  0.984
   0.35771    -24.209661  0.000  0.000  0.000  0.000  0.362  0.132  0.034  0.096  0.360  0.984
   0.38006    -24.209658  0.000  0.000  0.000  0.000  0.362  0.132  0.034  0.096  0.360  0.984
   0.40242    -24.209646  0.000  0.000  0.000  0.000  0.362  0.132  0.034  0.098  0.360  0.984
   0.42478    -24.209626  0.000  0.000  0.000  0.000  0.362  0.132  0.034  0.098  0.360  0.984
   0.42478    -24.209626  0.000  0.000  0.000  0.000  0.362  0.132  0.034  0.098  0.360  0.984
   0.46455    -24.209665  0.000  0.000  0.000  0.000  0.362  0.132  0.034  0.098  0.360  0.984
   0.50432    -24.209682  0.000  0.000  0.000  0.000  0.362  0.132  0.034  0.098  0.360  0.984
   0.54409    -24.209678  0.000  0.000  0.000  0.000  0.362  0.132  0.034  0.098  0.360  0.984
   0.58386    -24.209654  0.000  0.000  0.000  0.000  0.360  0.130  0.034  0.098  0.360  0.984
   0.62364    -24.209612  0.000  0.000  0.000  0.000  0.360  0.130  0.034  0.100  0.360  0.984
   0.66341    -24.209555  0.000  0.000  0.000  0.000  0.360  0.130  0.034  0.100  0.360  0.984
   0.70318    -24.209480  0.000  0.000  0.000  0.000  0.360  0.132  0.036  0.100  0.358  0.984
   0.74295    -24.209391  0.000  0.000  0.000  0.000  0.360  0.132  0.036  0.100  0.358  0.984
   0.78272    -24.209296  0.000  0.000  0.000  0.000  0.360  0.132  0.036  0.100  0.358  0.984
   0.82249    -24.209189  0.000  0.000  0.000  0.000  0.358  0.132  0.036  0.100  0.358  0.984
   0.86226    -24.209076  0.000  0.000  0.000  0.000  0.358  0.132  0.036  0.100  0.358  0.984
   0.90204    -24.208964  0.000  0.000  0.000  0.000  0.358  0.132  0.036  0.100  0.358  0.984
   0.94181    -24.208853  0.000  0.000  0.000  0.000  0.358  0.134  0.036  0.100  0.358  0.984
   0.98158    -24.208747  0.000  0.000  0.000  0.000  0.358  0.134  0.036  0.100  0.358  0.984
   1.02135    -24.208712  0.000  0.000  0.000  0.000  0.360  0.136  0.036  0.096  0.360  0.984
   1.06112    -24.208655  0.000  0.000  0.000  0.000  0.358  0.136  0.036  0.096  0.358  0.984
   1.10089    -24.208575  0.000  0.000  0.000  0.000  0.358  0.136  0.036  0.096  0.358  0.984
   1.14067    -24.208471  0.000  0.000  0.000  0.000  0.358  0.136  0.036  0.096  0.358  0.984
   1.18044    -24.208354  0.000  0.000  0.000  0.000  0.358  0.136  0.036  0.097  0.358  0.984
   1.18044    -24.208354  0.000  0.000  0.000  0.000  0.358  0.136  0.037  0.097  0.358  0.985
   1.22021    -24.208471  0.000  0.000  0.000  0.000  0.358  0.136  0.036  0.096  0.358  0.984
