  #K-Path    Energy        Bi        As
# NKPTS & NBANDS:  80  44
# Band-Index:    1
    0.207  -35.6159     0.000     0.999
    0.258  -35.6159     0.000     0.999
    0.310  -35.6159     0.000     0.999
    0.361  -35.6159     0.000     0.999
    0.413  -35.6159     0.000     0.999
    0.465  -35.6159     0.000     0.999
    0.516  -35.6159     0.000     0.999
    0.568  -35.6159     0.000     0.999
    0.620  -35.6159     0.000     0.999
    0.671  -35.6159     0.000     0.999
    0.723  -35.6159     0.000     0.999
    0.775  -35.6159     0.000     0.999
    0.826  -35.6159     0.000     0.999
    0.878  -35.6159     0.000     0.999
    0.930  -35.6159     0.000     0.999
    0.981  -35.6159     0.000     0.999
    0.981  -35.6159     0.000     0.999
    1.026  -35.6159     0.000     0.999
    1.071  -35.6159     0.000     0.999
    1.115  -35.6159     0.000     0.999
    1.160  -35.6159     0.000     0.999
    1.205  -35.6159     0.000     0.999
    1.250  -35.6159     0.000     0.999
    1.294  -35.6159     0.000     0.999
    1.339  -35.6159     0.000     0.999
    1.384  -35.6159     0.000     0.999
    1.428  -35.6159     0.000     0.999
    1.473  -35.6159     0.000     0.999
    1.518  -35.6159     0.000     0.999
    1.563  -35.6159     0.000     0.999
    1.607  -35.6159     0.000     0.999
    1.652  -35.6159     0.000     0.999
    1.697  -35.6159     0.000     0.999
    1.742  -35.6159     0.000     0.999
    1.786  -35.6159     0.000     0.999
    1.831  -35.6159     0.000     0.999
    1.831  -35.6159     0.000     0.999
    1.857  -35.6159     0.000     0.999
    1.883  -35.6159     0.000     0.999
    1.908  -35.6159     0.000     0.999
    1.934  -35.6159     0.000     0.999
    1.960  -35.6159     0.000     0.999
    1.986  -35.6159     0.000     0.999
    2.012  -35.6159     0.000     0.999
    2.038  -35.6159     0.000     0.999
    2.063  -35.6159     0.000     0.999
    2.089  -35.6159     0.000     0.999
    2.115  -35.6159     0.000     0.999
    2.141  -35.6159     0.000     0.999
    2.167  -35.6159     0.000     0.999
    2.192  -35.6159     0.000     0.999
    2.218  -35.6159     0.000     0.999
    2.244  -35.6159     0.000     0.999
    2.270  -35.6159     0.000     0.999
    2.296  -35.6159     0.000     0.999
    2.322  -35.6159     0.000     0.999
    2.322  -35.6159     0.000     0.999
    2.373  -35.6159     0.000     0.999
    2.425  -35.6159     0.000     0.999
    2.477  -35.6159     0.000     0.999
    2.528  -35.6159     0.000     0.999
    2.580  -35.6159     0.000     0.999
    2.631  -35.6159     0.000     0.999
    2.683  -35.6159     0.000     0.999
    2.735  -35.6159     0.000     0.999
    2.786  -35.6159     0.000     0.999
    2.838  -35.6159     0.000     0.999
    2.890  -35.6159     0.000     0.999
    2.941  -35.6159     0.000     0.999
    2.993  -35.6159     0.000     0.999
    3.045  -35.6159     0.000     0.999
    3.096  -35.6159     0.000     0.999
    3.148  -35.6159     0.000     0.999
    3.199  -35.6159     0.000     0.999
    3.251  -35.6159     0.000     0.999
    3.303  -35.6159     0.000     0.999
 
# Band-Index:    4
    3.303  -35.6159     0.000     0.999
    3.251  -35.6159     0.000     0.999
    3.199  -35.6159     0.000     0.999
    3.148  -35.6159     0.000     0.999
    3.096  -35.6159     0.000     0.999
    3.045  -35.6159     0.000     0.999
    2.993  -35.6159     0.000     0.999
    2.941  -35.6159     0.000     0.999
    2.890  -35.6159     0.000     0.999
    2.838  -35.6159     0.000     0.999
    2.786  -35.6159     0.000     0.999
    2.735  -35.6159     0.000     0.999
    2.683  -35.6159     0.000     0.999
    2.631  -35.6159     0.000     0.999
    2.580  -35.6159     0.000     0.999
    2.528  -35.6159     0.000     0.999
    2.477  -35.6159     0.000     0.999
    2.425  -35.6159     0.000     0.999
    2.373  -35.6159     0.000     0.999
    2.322  -35.6159     0.000     0.999
    2.322  -35.6159     0.000     0.999
    2.296  -35.6159     0.000     0.999
    2.270  -35.6159     0.000     0.999
    2.244  -35.6159     0.000     0.999
    2.218  -35.6159     0.000     0.999
    2.192  -35.6159     0.000     0.999
    2.167  -35.6159     0.000     0.999
    2.141  -35.6159     0.000     0.999
    2.115  -35.6159     0.000     0.999
    2.089  -35.6159     0.000     0.999
    2.063  -35.6159     0.000     0.999
    2.038  -35.6159     0.000     0.999
    2.012  -35.6159     0.000     0.999
    1.986  -35.6159     0.000     0.999
    1.960  -35.6159     0.000     0.999
    1.934  -35.6159     0.000     0.999
    1.908  -35.6159     0.000     0.999
    1.883  -35.6159     0.000     0.999
    1.857  -35.6159     0.000     0.999
    1.831  -35.6159     0.000     0.999
    1.831  -35.6159     0.000     0.999
    1.786  -35.6159     0.000     0.999
    1.742  -35.6159     0.000     0.999
    1.697  -35.6159     0.000     0.999
    1.652  -35.6159     0.000     0.999
    1.607  -35.6159     0.000     0.999
    1.563  -35.6159     0.000     0.999
    1.518  -35.6159     0.000     0.999
    1.473  -35.6159     0.000     0.999
    1.428  -35.6159     0.000     0.999
    1.384  -35.6159     0.000     0.999
    1.339  -35.6159     0.000     0.999
    1.294  -35.6159     0.000     0.999
    1.250  -35.6159     0.000     0.999
    1.205  -35.6159     0.000     0.999
    1.160  -35.6159     0.000     0.999
    1.115  -35.6159     0.000     0.999
    1.071  -35.6159     0.000     0.999
    1.026  -35.6159     0.000     0.999
    0.981  -35.6159     0.000     0.999
    0.981  -35.6159     0.000     0.999
    0.930  -35.6159     0.000     0.999
    0.878  -35.6159     0.000     0.999
    0.826  -35.6159     0.000     0.999
    0.775  -35.6159     0.000     0.999
    0.723  -35.6159     0.000     0.999
    0.671  -35.6159     0.000     0.999
    0.620  -35.6159     0.000     0.999
    0.568  -35.6159     0.000     0.999
    0.516  -35.6159     0.000     0.999
    0.465  -35.6159     0.000     0.999
    0.413  -35.6159     0.000     0.999
    0.361  -35.6159     0.000     0.999
    0.310  -35.6159     0.000     0.999
    0.258  -35.6159     0.000     0.999
    0.207  -35.6159     0.000     0.999
    0.155  -35.6159     0.000     0.999
    0.103  -35.6159     0.000     0.999
