  #K-Path    Energy        In        Sb
# NKPTS & NBANDS:  80  44
# Band-Index:    1
    0.213  -35.6080     0.000     0.998
    0.266  -35.6080     0.000     0.998
    0.319  -35.6080     0.000     0.998
    0.372  -35.6080     0.000     0.998
    0.425  -35.6080     0.000     0.998
    0.478  -35.6081     0.000     0.998
    0.531  -35.6081     0.000     0.998
    0.585  -35.6081     0.000     0.998
    0.638  -35.6081     0.000     0.998
    0.691  -35.6081     0.000     0.998
    0.744  -35.6081     0.000     0.998
    0.797  -35.6081     0.000     0.998
    0.850  -35.6081     0.000     0.998
    0.903  -35.6081     0.000     0.998
    0.957  -35.6081     0.000     0.998
    1.010  -35.6081     0.000     0.998
    1.010  -35.6081     0.000     0.998
    1.056  -35.6081     0.000     0.998
    1.102  -35.6081     0.000     0.998
    1.148  -35.6081     0.000     0.998
    1.194  -35.6081     0.000     0.998
    1.240  -35.6081     0.000     0.998
    1.286  -35.6081     0.000     0.998
    1.332  -35.6081     0.000     0.998
    1.378  -35.6081     0.000     0.998
    1.424  -35.6081     0.000     0.998
    1.470  -35.6081     0.000     0.998
    1.516  -35.6081     0.000     0.998
    1.562  -35.6081     0.000     0.998
    1.608  -35.6080     0.000     0.998
    1.654  -35.6080     0.000     0.998
    1.700  -35.6080     0.000     0.998
    1.746  -35.6080     0.000     0.998
    1.792  -35.6080     0.000     0.998
    1.838  -35.6080     0.000     0.998
    1.884  -35.6080     0.000     0.999
    1.884  -35.6080     0.000     0.999
    1.911  -35.6080     0.000     0.999
    1.937  -35.6080     0.000     0.999
    1.964  -35.6080     0.000     0.999
    1.991  -35.6080     0.000     0.999
    2.017  -35.6080     0.000     0.999
    2.044  -35.6080     0.000     0.999
    2.070  -35.6080     0.000     0.999
    2.097  -35.6080     0.000     0.998
    2.123  -35.6080     0.000     0.999
    2.150  -35.6080     0.000     0.999
    2.177  -35.6080     0.000     0.999
    2.203  -35.6080     0.000     0.999
    2.230  -35.6080     0.000     0.999
    2.256  -35.6080     0.000     0.999
    2.283  -35.6080     0.000     0.999
    2.309  -35.6080     0.000     0.999
    2.336  -35.6080     0.000     0.999
    2.363  -35.6080     0.000     0.999
    2.389  -35.6080     0.000     0.998
    2.389  -35.6080     0.000     0.998
    2.442  -35.6080     0.000     0.999
    2.495  -35.6080     0.000     0.999
    2.549  -35.6080     0.000     0.998
    2.602  -35.6080     0.000     0.998
    2.655  -35.6080     0.000     0.998
    2.708  -35.6080     0.000     0.998
    2.761  -35.6080     0.000     0.998
    2.814  -35.6080     0.000     0.998
    2.868  -35.6081     0.000     0.998
    2.921  -35.6081     0.000     0.998
    2.974  -35.6081     0.000     0.998
    3.027  -35.6081     0.000     0.998
    3.080  -35.6081     0.000     0.998
    3.133  -35.6081     0.000     0.998
    3.186  -35.6081     0.000     0.998
    3.240  -35.6081     0.000     0.998
    3.293  -35.6081     0.000     0.998
    3.346  -35.6081     0.000     0.998
    3.399  -35.6081     0.000     0.998
 
# Band-Index:    4
    3.399  -35.6081     0.000     0.998
    3.346  -35.6081     0.000     0.998
    3.293  -35.6081     0.000     0.998
    3.240  -35.6081     0.000     0.998
    3.186  -35.6081     0.000     0.998
    3.133  -35.6081     0.000     0.998
    3.080  -35.6081     0.000     0.998
    3.027  -35.6081     0.000     0.998
    2.974  -35.6081     0.000     0.998
    2.921  -35.6080     0.000     0.998
    2.868  -35.6080     0.000     0.998
    2.814  -35.6080     0.000     0.998
    2.761  -35.6080     0.000     0.998
    2.708  -35.6080     0.000     0.998
    2.655  -35.6080     0.000     0.998
    2.602  -35.6080     0.000     0.998
    2.549  -35.6080     0.000     0.998
    2.495  -35.6080     0.000     0.998
    2.442  -35.6080     0.000     0.998
    2.389  -35.6080     0.000     0.998
    2.389  -35.6080     0.000     0.998
    2.363  -35.6080     0.000     0.998
    2.336  -35.6080     0.000     0.998
    2.309  -35.6080     0.000     0.998
    2.283  -35.6080     0.000     0.998
    2.256  -35.6080     0.000     0.998
    2.230  -35.6080     0.000     0.998
    2.203  -35.6080     0.000     0.998
    2.177  -35.6080     0.000     0.998
    2.150  -35.6080     0.000     0.999
    2.123  -35.6080     0.000     0.999
    2.097  -35.6080     0.000     0.998
    2.070  -35.6080     0.000     0.999
    2.044  -35.6080     0.000     0.999
    2.017  -35.6080     0.000     0.999
    1.991  -35.6080     0.000     0.999
    1.964  -35.6080     0.000     0.998
    1.937  -35.6080     0.000     0.999
    1.911  -35.6080     0.000     0.999
    1.884  -35.6080     0.000     0.999
    1.884  -35.6080     0.000     0.999
    1.838  -35.6080     0.000     0.999
    1.792  -35.6080     0.000     0.998
    1.746  -35.6080     0.000     0.998
    1.700  -35.6080     0.000     0.998
    1.654  -35.6080     0.000     0.998
    1.608  -35.6080     0.000     0.998
    1.562  -35.6080     0.000     0.998
    1.516  -35.6080     0.000     0.998
    1.470  -35.6081     0.000     0.998
    1.424  -35.6081     0.000     0.998
    1.378  -35.6081     0.000     0.998
    1.332  -35.6081     0.000     0.998
    1.286  -35.6081     0.000     0.998
    1.240  -35.6081     0.000     0.998
    1.194  -35.6081     0.000     0.998
    1.148  -35.6081     0.000     0.998
    1.102  -35.6081     0.000     0.998
    1.056  -35.6081     0.000     0.998
    1.010  -35.6081     0.000     0.998
    1.010  -35.6081     0.000     0.998
    0.957  -35.6081     0.000     0.998
    0.903  -35.6081     0.000     0.998
    0.850  -35.6081     0.000     0.998
    0.797  -35.6081     0.000     0.998
    0.744  -35.6081     0.000     0.998
    0.691  -35.6081     0.000     0.998
    0.638  -35.6081     0.000     0.998
    0.585  -35.6081     0.000     0.998
    0.531  -35.6080     0.000     0.998
    0.478  -35.6080     0.000     0.998
    0.425  -35.6080     0.000     0.998
    0.372  -35.6080     0.000     0.998
    0.319  -35.6080     0.000     0.998
    0.266  -35.6080     0.000     0.998
    0.213  -35.6080     0.000     0.998
    0.159  -35.6080     0.000     0.998
